Entidad,Nombre_Banco,Periodo,Activo,Disponibilidades,Disponibilidades en pesos,Caja $,BCRA $,Disponibilidades en ME,Caja ME,BCRA ME,Titulos públicos y privados,Titulos públicos y privados en pesos,Titulos públicos y privados en ME,Letras y Notas BCRA,Prestamos,Prestamos totales,Volumen de Negocio,Prestamos en pesos,Prestamos en ME,Prestamos sector publico no fcro pesos,Prestamos sector publico no fcro ME,Prestamos sector privado no fcro pesos,Prestamos privado no fcro ME,OCIF,Prestamos Comerciales,Propiedad Planta y Equipo,Créditos diversos,Participación en otras sociedades,Activos Intangibles,PPI Deudoras,Pasivo,Depositos,Depositos en pesos,Depositos a la vista $,Depositos a plazo $,Depositos en ME,Depositos a la vista en ME,Depositos a plazo ME,OOIF,PN,Capital social,PN FINAL,Reserva Legal,Previsiones,Ingresos financieros,Egresos financieros,Ingresos por servicios,Egresos por servicios,Gastos de Administracion,Cargo por Incobrabilidad,Utilidades diversas,Perdidas diversas,Gastos de Personal,Utilidad neta
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201502,91979794,12522711,6092466,2293110,3799356,6430245,649412,5557874,11037261,9866161,1171100,0,52071750,52071750,116097605,48019928,4051822,28,0,47903603,3112404,7194593,23875986,1359896,1009918,3762225,1512648,15549,81499614,64991606,60526406,28412672,28939272,4465200,2301939,1844601,11779870,9899252,934620,10480180,1232036,-1458388,2729155,1456242,1083162,411220,1093892,166465,273539,92109,704066,580928
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201503,97744586,11086665,4876707,2832544,2044163,6209958,399966,5234575,14451856,12132534,2319322,0,53779379,53779379,120668957,49794852,3984527,27,0,49661007,3099305,8864576,25452388,1380382,1212395,3867030,1552639,14249,86964374,67732587,63140721,29242021,30765922,4591866,2176077,2059676,14445188,9899252,934620,10780212,1232036,-1540501,4160561,2273646,1637707,638322,1644725,258910,415208,109913,1055249,880960
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201504,100555358,14287823,8119280,2256100,5863180,6168543,668868,5421825,17061650,13997925,3063725,0,53073358,53073358,125120677,49734892,3338466,31,0,49607833,3224985,6666147,24803586,1383181,1107762,3831628,1579005,14604,89475360,72169785,67433763,30274945,33437443,4736022,2199063,2138741,12265298,9899252,934620,11079998,1863719,-1578724,5646159,3131442,2219778,870641,2220548,335548,537760,125772,1413299,1180746
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201505,101488029,11503834,5798000,2574845,3223155,5705834,734970,4804680,17578376,14427301,3151075,0,54693394,54693394,125568065,51105253,3588141,178261,0,50861914,3196046,8185712,25485511,1382342,1063621,3914309,1588376,13013,90147998,71412288,66533358,30868467,32263887,4878930,2202772,2247494,14043680,9899252,934620,11340031,1863719,-1521668,7083968,4017581,2751143,1095221,2782949,406512,647070,140139,1756345,1440779
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201506,111870678,10289585,6006188,2158679,3847509,4283397,754491,3117016,18991347,15586662,3404685,0,60352933,60352933,134261596,54457372,5895561,56,0,54341071,3347670,12481243,28867067,1393150,1118194,4033852,1596089,14994,100212379,76426187,71374236,33880985,34036608,5051951,2288377,2290117,19270382,9899252,934620,11658299,1863719,-1612137,8543181,4876267,3360131,1346235,3364194,505937,830721,170353,2125827,1759047
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201507,106638992,12244949,6559045,2380914,4178131,5685904,774916,4754655,18806613,15473148,3333465,0,58240949,58240949,134342318,54599685,3641264,131,0,54383083,3419604,7276634,29537802,1484434,1124893,4181201,1622314,8750,94584869,76336882,71007220,32164848,35118642,5329662,2432049,2373585,13694568,9899252,934620,12054123,1863719,-1679096,10204503,5785553,4000438,1616577,4028637,584806,1020382,187879,2541931,2154871
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201508,110716895,12109159,7704003,2763171,4940832,4405156,856279,3327177,15364196,11790893,3573303,0,62995791,62995791,136976017,57368110,5627681,163,0,57051086,3333555,10142969,30379640,1539997,976488,4260703,1624520,9405,98384986,76376047,70828671,33079883,34134458,5547376,2593322,2374071,17305557,9899252,934620,12331909,1863719,-1651913,11787128,6738706,4615331,1906900,4642270,675689,1164410,204647,2921337,2432657
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201509,115822887,16958596,9079296,2772761,6306535,7879300,1375687,6403378,16012471,12435796,3576675,0,62373439,62373439,143685575,58771196,3602243,147,0,58456635,3379963,9930251,30021535,1558865,1217273,4380640,1678581,8930,103057734,81657329,75028425,35410929,34964617,6628904,3593483,2408563,16545301,9899252,934620,12765153,1863719,-1675921,13461342,7679612,5269393,2193435,5261337,753299,1377664,253815,3306277,2865901
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201510,119471520,15847269,6248394,2499673,3748721,9598875,702708,8660931,16042095,12240112,3801983,0,66933045,66933045,150272492,63921432,3011613,62,0,63336848,2727328,9463657,32168365,1551612,1527904,4485903,1653631,8606,106361426,83785703,75611564,34540794,36706007,8174139,4663412,2852372,17386265,9899252,934620,13110094,1863719,-1747811,15251421,8682178,5929449,2511727,5887736,852649,1521088,295826,3674779,3210842
7,BANCO DE GALICIA Y BUENOS AIRES S.A.U.,201511,127071567,17974893,8250967,2819131,5431836,9723926,452120,9055435,17396549,13982656,3413893,0,68950154,68950154,156741479,66215519,2734635,88,0,65444645,2534047,11146134,31249537,1543760,1837175,4550477,1683426,21645,113646460,88299380,80292296,36995153,37092414,8007084,4566641,2758543,19835461,9899252,934620,13425107,1863719,-1767829,17226256,9781772,6606313,2848805,6652796,910844,1626973,327470,4171708,3525855
